subject	item	VR	POL	res_log_RT
actual_2_s001	possibility	0.41222817522849	0.498266624645446	0.545406887670099
actual_2_s001	quantity	-0.58777182477151	0.498266624645446	0.34308524517749
actual_2_s001	space	0.41222817522849	0.498266624645446	-0.0494482086803307
actual_2_s001	time	0.41222817522849	0.498266624645446	0.322959735928562
actual_2_s001	possibility	0.41222817522849	-0.501733375354554	0.044548724952822
actual_2_s001	quantity	0.41222817522849	-0.501733375354554	0.417140792312083
actual_2_s001	space	0.41222817522849	-0.501733375354554	0.265428746533397
actual_2_s001	time	0.41222817522849	-0.501733375354554	1.0004958724425
actual_2_s002	possibility	-0.58777182477151	0.498266624645446	0.979349786859657
actual_2_s002	quantity	-0.58777182477151	0.498266624645446	-0.0130037896790949
actual_2_s002	space	0.41222817522849	0.498266624645446	0.692536169703521
actual_2_s002	time	-0.58777182477151	0.498266624645446	0.337826951273112
actual_2_s002	possibility	-0.58777182477151	-0.501733375354554	0.593292623470734
actual_2_s002	quantity	-0.58777182477151	-0.501733375354554	0.836030094378804
actual_2_s002	space	-0.58777182477151	-0.501733375354554	0.879390478737331
actual_2_s002	time	-0.58777182477151	-0.501733375354554	-0.0352402908798872
actual_2_s003	possibility	0.41222817522849	0.498266624645446	-0.0315294565775543
actual_2_s003	quantity	0.41222817522849	0.498266624645446	1.37599700670919
actual_2_s003	space	0.41222817522849	0.498266624645446	0.291873412608689
actual_2_s003	time	0.41222817522849	0.498266624645446	0.713521609724378
actual_2_s003	possibility	-0.58777182477151	-0.501733375354554	-0.708364938969673
actual_2_s003	quantity	0.41222817522849	-0.501733375354554	0.0797860383359508
actual_2_s003	space	0.41222817522849	-0.501733375354554	1.01666867033506
actual_2_s003	time	0.41222817522849	-0.501733375354554	0.301220143130529
actual_2_s004	possibility	0.41222817522849	0.498266624645446	-0.509711764030873
actual_2_s004	quantity	-0.58777182477151	0.498266624645446	0.734352714593069
actual_2_s004	space	0.41222817522849	0.498266624645446	0.025800038098982
actual_2_s004	time	-0.58777182477151	0.498266624645446	0.838818807181907
actual_2_s004	possibility	-0.58777182477151	-0.501733375354554	0.462543618812891
actual_2_s004	quantity	-0.58777182477151	-0.501733375354554	0.317997274411536
actual_2_s004	space	0.41222817522849	-0.501733375354554	1.33346334850137
actual_2_s004	time	-0.58777182477151	-0.501733375354554	0.314740514954627
actual_2_s005	possibility	0.41222817522849	0.498266624645446	0.823914082471068
actual_2_s005	quantity	0.41222817522849	0.498266624645446	0.866705180268593
actual_2_s005	space	-0.58777182477151	0.498266624645446	0.385678723317394
actual_2_s005	time	0.41222817522849	0.498266624645446	0.506492657243996
actual_2_s005	possibility	0.41222817522849	-0.501733375354554	0.0255443319130944
actual_2_s005	quantity	0.41222817522849	-0.501733375354554	1.87045688863135
actual_2_s005	space	0.41222817522849	-0.501733375354554	0.968252587379214
actual_2_s005	time	0.41222817522849	-0.501733375354554	0.70033977703618
actual_2_s006	possibility	0.41222817522849	0.498266624645446	-0.305248724815177
actual_2_s006	quantity	-0.58777182477151	0.498266624645446	0.986985018074823
actual_2_s006	space	0.41222817522849	0.498266624645446	0.353288124601458
actual_2_s006	time	-0.58777182477151	0.498266624645446	0.443565141051325
actual_2_s006	possibility	0.41222817522849	-0.501733375354554	-0.0301274784472305
actual_2_s006	quantity	-0.58777182477151	-0.501733375354554	0.539554824902378
actual_2_s006	space	0.41222817522849	-0.501733375354554	1.09401333978905
actual_2_s006	time	0.41222817522849	-0.501733375354554	1.06441455344681
actual_2_s007	possibility	0.41222817522849	0.498266624645446	-0.0466283364827103
actual_2_s007	quantity	0.41222817522849	0.498266624645446	0.541146526374752
actual_2_s007	space	0.41222817522849	0.498266624645446	0.265943331764288
actual_2_s007	time	0.41222817522849	0.498266624645446	0.260664822469455
actual_2_s007	possibility	0.41222817522849	-0.501733375354554	-0.261754513521517
actual_2_s007	quantity	0.41222817522849	-0.501733375354554	0.0654169226272217
actual_2_s007	space	-0.58777182477151	-0.501733375354554	0.376388455697175
actual_2_s007	time	0.41222817522849	-0.501733375354554	0.201061045230583
actual_2_s008	possibility	-0.58777182477151	0.498266624645446	-0.716989015880599
actual_2_s008	quantity	0.41222817522849	0.498266624645446	0.463423707037228
actual_2_s008	space	0.41222817522849	0.498266624645446	0.588860902544574
actual_2_s008	time	0.41222817522849	0.498266624645446	0.327660506683496
actual_2_s008	possibility	0.41222817522849	-0.501733375354554	0.461230752723103
actual_2_s008	quantity	-0.58777182477151	-0.501733375354554	0.174248460189857
actual_2_s008	space	0.41222817522849	-0.501733375354554	1.07331779535671
actual_2_s008	time	-0.58777182477151	-0.501733375354554	0.21684550121743
